,시설명,소재지도로명주소,위도,경도,19년 1월 점유율,19년 2월 점유율,19년 3월 점유율,19년 4월 점유율,19년 5월 점유율,19년 6월 점유율,19년 7월 점유율,19년 8월 점유율,19년 9월 점유율,19년 10월 점유율,19년 11월 점유율,19년 12월 점유율,20년 1월 점유율,20년 2월 점유율,20년 3월 점유율,20년 4월 점유율,20년 5월 점유율,20년 6월 점유율,20년 7월 점유율,20년 8월 점유율,20년 9월 점유율,20년 10월 점유율,20년 11월 점유율,20년 12월 점유율
0,강남교회 교육관,서울특별시 동작구 만양로76,37.51032643,126.94510149999999,0.6533333333333333,0.51,0.585,0.485,0.525,0.46166666666666667,0.5183333333333333,0.48,0.6166666666666667,0.5533333333333333,0.5016666666666667,0.55,0.45,0.355,0.43463497453310695,0.47543859649122805,0.4685908319185059,0.5140350877192983,0.5738539898132428,0.5382003395585738,0.5093378607809848,0.6129032258064516,0.5551782682512734,0.5551782682512734
1,다울도서관,서울특별시 동작구 사당로20길 132,37.47888804,126.97324420000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,동작 청소년문화의 집,,,,0.37833333333333335,0.31666666666666665,0.43833333333333335,0.31333333333333335,0.38333333333333336,0.2966666666666667,0.26166666666666666,0.29833333333333334,0.25666666666666665,0.37833333333333335,0.35833333333333334,0.38166666666666665,0.27666666666666667,0.16,0.28183361629881154,0.256140350877193,0.29711375212224106,0.47368421052631576,0.33276740237691,0.3735144312393888,0.3157894736842105,0.34974533106960953,0.3140916808149406,0.3140916808149406
3,동작문화 복지센터,,,,0.804,0.6026666666666667,0.8533333333333334,0.624,0.5946666666666667,0.5066666666666667,0.6386666666666667,0.604,0.72,0.6413333333333333,0.564,0.7013333333333334,0.5213333333333333,0.39866666666666667,0.0,0.0,0.0024813895781637717,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,사당노인종합복지관,서울특별시 동작구 남부순환로2081,37.47701714,126.9798517,0.6105263157894737,0.5070175438596491,0.5947368421052631,0.7175438596491228,0.5859649122807018,0.519298245614035,0.6087719298245614,0.5964912280701754,0.612280701754386,0.6333333333333333,0.6228070175438597,0.6280701754385964,0.45964912280701753,0.512280701754386,0.43463497453310695,0.5157894736842106,0.4091680814940577,0.6385964912280702,0.5076400679117148,0.5449915110356537,0.4770797962648557,0.5178268251273345,0.4872665534804754,0.5263157894736842
5,사당문화회관,서울특별시 동작구 사당로8길9,37.48471669,126.96961259999999,0.8770833333333333,0.5375,0.7416666666666667,0.7166666666666667,0.8583333333333333,0.8229166666666666,0.7395833333333334,0.6729166666666667,0.88125,1.0020833333333334,0.75,1.0583333333333333,0.6291666666666667,0.5770833333333333,0.5619694397283531,0.44912280701754387,0.32088285229202035,0.7157894736842105,0.5840407470288624,0.5500848896434635,0.567062818336163,0.6112054329371817,0.5110356536502547,0.5127334465195246
6,상도1동주민센터,서울특별시 동작구 상도로 53길9,37.49810133,126.9530811,0.7625,0.6145833333333334,0.7416666666666667,0.6458333333333334,0.7979166666666667,0.5583333333333333,0.5354166666666667,0.5166666666666667,0.5375,0.7604166666666666,0.6645833333333333,0.6375,0.4270833333333333,0.49583333333333335,0.6247877758913413,0.48596491228070177,0.49575551782682514,0.6789473684210526,0.5823429541595926,0.5432937181663837,0.5483870967741935,0.5857385398981324,0.5636672325976231,0.533106960950764
7,상도3동 주민센터,서울특별시 동작구 성대로2길11,37.49912572,126.931404,0.9146666666666666,0.6613333333333333,0.6266666666666667,0.7666666666666667,1.0066666666666666,0.8653333333333333,0.9573333333333334,0.908,0.896,0.8893333333333333,0.9346666666666666,0.9573333333333334,0.7013333333333334,0.184,0.6959921798631477,0.603030303030303,0.64613880742913,0.5797979797979798,0.6911045943304008,0.7028347996089932,0.6744868035190615,0.7028347996089932,0.6383186705767351,0.6823069403714564
8,순만빌딩,서울특별시 동작구 노량진로169,37.51409934,126.9448254,0.8794871794871795,0.7948717948717948,0.8717948717948718,0.9564102564102565,0.8076923076923077,0.7666666666666667,0.8461538461538461,0.7564102564102564,0.8717948717948718,0.9794871794871794,0.7794871794871795,0.764102564102564,0.676923076923077,0.7846153846153846,0.6213921901528013,0.5789473684210527,0.5891341256366723,0.6807017543859649,0.5076400679117148,0.5076400679117148,0.5110356536502547,0.5449915110356537,0.5942275042444821,0.46519524617996605
9,신한은행_숭실대역점,서울특별시 동작구 상도로 37길 76,37.49760165,126.95312129999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.08095238095238096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,예그리나주택,서울특별시 동작구 국사봉8길47,37.49471903,126.9308598,0.7228070175438597,0.3929824561403509,0.6228070175438597,0.5298245614035088,0.5105263157894737,0.5035087719298246,0.4824561403508772,0.6070175438596491,0.3631578947368421,0.3508771929824561,0.3385964912280702,0.2912280701754386,0.2543859649122807,0.26842105263157895,0.1833616298811545,0.17192982456140352,0.13582342954159593,0.34385964912280703,0.22580645161290322,0.22071307300509338,0.20543293718166383,0.24108658743633277,0.2071307300509338,0.20882852292020374
11,우리은행 동작구청지점,서울특별시 동작구 장승배기로 161,37.51252777,126.93994209999998,1.0085271317829458,0.8031007751937984,0.9480620155038759,0.8813953488372093,0.9038759689922481,0.7170542635658915,0.9604651162790697,0.7821705426356589,0.9124031007751938,0.958139534883721,0.8124031007751938,0.9441860465116279,0.7604651162790698,0.7813953488372093,0.7460535346602608,0.6609929078014184,0.6108442004118051,0.7737588652482269,0.7343857240905971,0.8098833218943033,0.700754975978037,0.8030199039121483,0.5847632120796157,0.7687028140013726
12,해피유통,,,,0.22807017543859648,0.17543859649122806,0.2596491228070175,0.1543859649122807,0.24035087719298245,0.21403508771929824,0.2543859649122807,0.14385964912280702,0.16842105263157894,0.22105263157894736,0.16666666666666666,0.3140350877192982,0.19824561403508772,0.21403508771929824,0.41935483870967744,0.2388888888888889,0.1989247311827957,0.3333333333333333,0.22043010752688172,0.24193548387096775,0.16129032258064516,0.24193548387096775,0.20967741935483872,0.20161290322580644
13,신대방해피점,서울특별시 동작구 신대방1나길 26,37.48647483,126.90768490000002,,,,,,,,,,,,,,,,,,,,,,,,
14,동작청소년문화의집,서울특별시 동작구 상도로 15바길5,37.50405041,126.9332459,,,,,,,,,,,,,,,,,,,,,,,,
15,현대오일뱅크사당셀프점,서울특별시 동작구 동작대로 73,37.4831195,126.98153090000001,,,,,,,,,,,,,,,,,,,,,,,,
